value,name,bgg_id,date,type,classification
Auction: Turn Order Until Pass,For the King (and Me),333553,1/2/2024,classification,boardgamemechanic
Auction/Bidding,For the King (and Me),333553,1/2/2024,classification,boardgamemechanic
Closed Drafting,For the King (and Me),333553,1/2/2024,classification,boardgamemechanic
Commodity Speculation,For the King (and Me),333553,1/2/2024,classification,boardgamemechanic
Hand Management,For the King (and Me),333553,1/2/2024,classification,boardgamemechanic
Open Drafting,For the King (and Me),333553,1/2/2024,classification,boardgamemechanic
Set Collection,For the King (and Me),333553,1/2/2024,classification,boardgamemechanic
Action Drafting,The Cost,292894,1/2/2024,classification,boardgamemechanic
Market,The Cost,292894,1/2/2024,classification,boardgamemechanic
Network and Route Building,The Cost,292894,1/2/2024,classification,boardgamemechanic
Ownership,The Cost,292894,1/2/2024,classification,boardgamemechanic
Pick-up and Deliver,The Cost,292894,1/2/2024,classification,boardgamemechanic
Turn Order: Stat-Based,The Cost,292894,1/2/2024,classification,boardgamemechanic
Victory Points as a Resource,The Cost,292894,1/2/2024,classification,boardgamemechanic
Dice Rolling,Warhammer: The Game of Fantasy Battles (8th Edition),130552,1/2/2024,classification,boardgamemechanic
Modular Board,Warhammer: The Game of Fantasy Battles (8th Edition),130552,1/2/2024,classification,boardgamemechanic
Variable Player Powers,Warhammer: The Game of Fantasy Battles (8th Edition),130552,1/2/2024,classification,boardgamemechanic
Action Points,Clash of Cultures: Monumental Edition,299659,1/2/2024,classification,boardgamemechanic
Dice Rolling,Clash of Cultures: Monumental Edition,299659,1/2/2024,classification,boardgamemechanic
Grid Movement,Clash of Cultures: Monumental Edition,299659,1/2/2024,classification,boardgamemechanic
Hand Management,Clash of Cultures: Monumental Edition,299659,1/2/2024,classification,boardgamemechanic
Modular Board,Clash of Cultures: Monumental Edition,299659,1/2/2024,classification,boardgamemechanic
Trading,Clash of Cultures: Monumental Edition,299659,1/2/2024,classification,boardgamemechanic
Variable Player Powers,Clash of Cultures: Monumental Edition,299659,1/2/2024,classification,boardgamemechanic
Area Majority / Influence,Santiago,8125,1/2/2024,classification,boardgamemechanic
Auction: Once Around,Santiago,8125,1/2/2024,classification,boardgamemechanic
Auction/Bidding,Santiago,8125,1/2/2024,classification,boardgamemechanic
Bribery,Santiago,8125,1/2/2024,classification,boardgamemechanic
Commodity Speculation,Santiago,8125,1/2/2024,classification,boardgamemechanic
Tile Placement,Santiago,8125,1/2/2024,classification,boardgamemechanic
Victory Points as a Resource,Santiago,8125,1/2/2024,classification,boardgamemechanic
Hand Management,Fireball Island,1768,1/2/2024,classification,boardgamemechanic
Race,Fireball Island,1768,1/2/2024,classification,boardgamemechanic
Roll / Spin and Move,Fireball Island,1768,1/2/2024,classification,boardgamemechanic
Action Queue,London (Second Edition),236191,1/2/2024,classification,boardgamemechanic
Hand Management,London (Second Edition),236191,1/2/2024,classification,boardgamemechanic
Loans,London (Second Edition),236191,1/2/2024,classification,boardgamemechanic
Open Drafting,London (Second Edition),236191,1/2/2024,classification,boardgamemechanic
Take That,London (Second Edition),236191,1/2/2024,classification,boardgamemechanic
Dice Rolling,Strat-O-Matic Baseball,2251,1/2/2024,classification,boardgamemechanic
Simulation,Strat-O-Matic Baseball,2251,1/2/2024,classification,boardgamemechanic
Solo / Solitaire Game,Strat-O-Matic Baseball,2251,1/2/2024,classification,boardgamemechanic
Team-Based Game,Word on the Street,40990,1/2/2024,classification,boardgamemechanic
Area Majority / Influence,Gonzaga,57163,1/2/2024,classification,boardgamemechanic
Hand Management,Gonzaga,57163,1/2/2024,classification,boardgamemechanic
Network and Route Building,Gonzaga,57163,1/2/2024,classification,boardgamemechanic
Simultaneous Action Selection,Gonzaga,57163,1/2/2024,classification,boardgamemechanic
Tile Placement,Gonzaga,57163,1/2/2024,classification,boardgamemechanic
Market,Archaeology: The Card Game,31105,1/2/2024,classification,boardgamemechanic
Open Drafting,Archaeology: The Card Game,31105,1/2/2024,classification,boardgamemechanic
Push Your Luck,Archaeology: The Card Game,31105,1/2/2024,classification,boardgamemechanic
Set Collection,Archaeology: The Card Game,31105,1/2/2024,classification,boardgamemechanic
Area Majority / Influence,Great Wall of China,22198,1/2/2024,classification,boardgamemechanic
Hand Management,Great Wall of China,22198,1/2/2024,classification,boardgamemechanic
Hidden Roles,Werewolf,925,1/2/2024,classification,boardgamemechanic
Negotiation,Werewolf,925,1/2/2024,classification,boardgamemechanic
Player Elimination,Werewolf,925,1/2/2024,classification,boardgamemechanic
Role Playing,Werewolf,925,1/2/2024,classification,boardgamemechanic
Roles with Asymmetric Information,Werewolf,925,1/2/2024,classification,boardgamemechanic
Team-Based Game,Werewolf,925,1/2/2024,classification,boardgamemechanic
Traitor Game,Werewolf,925,1/2/2024,classification,boardgamemechanic
Variable Player Powers,Werewolf,925,1/2/2024,classification,boardgamemechanic
Voting,Werewolf,925,1/2/2024,classification,boardgamemechanic
Dice Rolling,Deadwood 1876,245197,1/2/2024,classification,boardgamemechanic
Hand Management,Deadwood 1876,245197,1/2/2024,classification,boardgamemechanic
Open Drafting,Deadwood 1876,245197,1/2/2024,classification,boardgamemechanic
