users_rated,num_owners,max_players,bgg_rank,average_weight,average,min_players,year_published,name,max_playtime,min_playtime,bgg_id,date,type
2341,2392,4,2431,1.8424,6.624,2,2010,Sobek,40,40,67185,1/2/2024,details
1956,2341,5,2441,2.2474,6.70207,2,2012,P.I.,60,45,129050,1/2/2024,details
2167,3631,5,2443,1.3,6.64423,2,2012,Würfel Bohnanza,45,45,111148,1/2/2024,details
2163,4110,4,2472,1.325,6.64393,2,2017,Harvest Dice,30,15,231280,1/2/2024,details
2637,3669,6,2504,2.273,6.512,2,2005,Funny Friends,60,60,16366,1/2/2024,details
1037,1347,4,2665,3.5259,7.27381,2,2003,Warmachine,60,60,4741,1/2/2024,details
1662,2740,4,2660,2.2558,6.72078,2,2017,Montana,45,45,233955,1/2/2024,details
931,2112,6,2754,2.7059,7.27291,3,2020,Vampire: The Masquerade – Vendetta,30,30,245659,1/2/2024,details
490,975,7,2819,4.2,8.03672,3,2010,1880: China,300,300,69601,1/2/2024,details
1088,1665,99,2857,1.1053,6.93011,3,2016,Word Slam,45,45,203411,1/2/2024,details
482,1289,2,2915,2.5238,8.21603,2,2019,Commands & Colors: Medieval,120,60,209003,1/2/2024,details
1676,4524,4,2909,1.9211,6.58973,1,2019,Adventure Games: Monochrome Inc.,75,75,267814,1/2/2024,details
704,1236,4,2954,2.8837,7.55694,1,2021,Glory: A Game of Knights,120,45,206757,1/2/2024,details
830,2222,99,2973,1.8889,7.18137,1,2020,Scooby-Doo: Escape from the Haunted Mansion,120,60,302344,1/2/2024,details
1248,1715,6,3001,2.2381,6.72065,3,2008,Strozzi,60,60,35572,1/2/2024,details
1698,1983,2,3037,2.4518,6.51478,2,2006,Medici vs Strozzi,30,30,24762,1/2/2024,details
853,2106,5,3079,2.963,7.116,2,2018,Narcos: The Board Game,100,75,253106,1/2/2024,details
966,1832,8,3088,1.1667,6.90476,4,2017,CrossTalk,30,20,215371,1/2/2024,details
942,1903,4,3099,2.925,7.20741,3,2018,Who Goes There?,110,110,230769,1/2/2024,details
2481,3438,4,3095,3.0699,6.37077,2,2006,Marvel Heroes,120,120,14808,1/2/2024,details
726,1149,2,3102,2.8136,7.28281,2,2007,España 1936,180,180,31291,1/2/2024,details
779,1539,4,3169,2.3,7.22303,1,2019,Heroes of Tenefyr,60,60,237706,1/2/2024,details
1895,4231,5,3175,1.8627,6.46255,1,2016,The Manhattan Project: Chain Reaction,40,30,177249,1/2/2024,details
924,1592,4,3205,3.1818,6.91194,2,2013,Archon: Glory & Machination,120,90,139033,1/2/2024,details
1225,1668,6,3354,3.1143,6.61701,3,2009,Colonia,120,120,56707,1/2/2024,details
637,1409,1,3477,2.2353,7.31292,1,2022,Bargain Basement Bathysphere,15,10,255360,1/2/2024,details
1441,2731,4,3529,3.1818,6.45323,2,1998,El Caballero,90,90,9,1/2/2024,details
934,2414,4,3551,2.6724,6.80768,2,2012,Fortress America,150,150,115293,1/2/2024,details
522,952,5,3617,3.4545,7.41871,2,2016,Codex: Card-Time Strategy – Core Set,45,45,215437,1/2/2024,details
2044,2934,8,3759,1.1361,6.25786,2,1989,Escape from the Hidden Castle,30,30,444,1/2/2024,details
902,1823,1,3782,2.0308,6.85311,1,2010,Utopia Engine,60,30,75223,1/2/2024,details
755,1654,6,3773,2.1154,6.89766,1,2022,Arcana Rising,60,20,309408,1/2/2024,details
1326,1882,4,3787,2.5255,6.40108,3,2004,Goldbräu,60,60,12632,1/2/2024,details
997,1120,5,4057,2.8095,6.48936,2,2011,City Tycoon,120,60,104994,1/2/2024,details
861,1243,4,4092,2.9479,6.56338,2,2003,Magna Grecia,90,90,5419,1/2/2024,details
480,1307,4,4089,1.2941,7.26972,2,2023,Savernake Forest,40,20,369142,1/2/2024,details
615,903,4,4175,2.7627,6.85461,2,2012,Kingdom of Solomon,60,60,87821,1/2/2024,details
908,1085,6,4222,1.7444,6.50868,2,2003,Formula Dé Mini,60,60,6539,1/2/2024,details
619,1632,2,4260,2.3929,6.97331,2,2015,Vs System 2PCG: The Marvel Battles,30,30,178892,1/2/2024,details
417,1574,8,4289,3.5882,7.89221,1,2018,Fallout: Wasteland Warfare,240,30,226176,1/2/2024,details
1264,1412,6,4291,1.0885,6.26572,2,2003,Igloo Pop,20,15,8668,1/2/2024,details
1021,2101,8,4314,1.3889,6.44111,1,2018,Gorus Maximus,45,20,253756,1/2/2024,details
492,1203,4,4311,2.0625,7.04962,1,2021,Shelfie Stacker,40,20,281455,1/2/2024,details
563,1003,6,4355,1.4286,6.84616,2,2019,Ship Shape: It's a Smuggler's Bounty!,40,20,255594,1/2/2024,details
276,769,4,4409,2.5833,8.16232,2,2013,Heart of Crown: Fairy Garden,45,45,156372,1/2/2024,details
260,805,6,4477,3.2222,8.44792,1,2016,Austerlitz 1805: Rising Eagles,600,60,200247,1/2/2024,details
670,1082,4,4564,1.1935,6.55955,1,2015,Träxx,15,15,173092,1/2/2024,details
1102,1895,5,4600,1.8824,6.2667,2,2015,CVlizations,60,45,181494,1/2/2024,details
532,1706,4,4653,2.1333,6.79198,2,2014,Quarriors! Light vs. Dark,30,30,155702,1/2/2024,details
1107,3124,3,4647,2.2286,6.29128,1,2017,SUPERHOT: The Card Game,40,20,206156,1/2/2024,details
498,1370,6,4767,1.1667,6.75577,2,2018,Timeline: Classic,15,15,257284,1/2/2024,details
383,1143,6,4729,1.7857,7.18503,1,2022,Zombicide: Gear Up,30,30,364792,1/2/2024,details
2452,5109,2,1229,1.377,7.35186,2,2018,Spirits of the Wild,30,15,256606,1/2/2024,details
2343,5686,10,1264,2.119,7.35595,1,2016,Mythos Tales,120,60,126100,1/2/2024,details
2707,3834,5,1301,2.2136,7.17046,2,2014,Royals,60,60,165986,1/2/2024,details
2355,3201,4,1311,2.8984,7.26174,2,2014,The Golden Ages,90,60,164338,1/2/2024,details
2238,4984,4,1404,2.8333,7.24811,1,2020,CloudAge,100,60,316858,1/2/2024,details
1711,3651,6,1393,1.8,7.46198,2,2022,Marvel: Remix,20,20,359152,1/2/2024,details
2245,6168,6,1418,1.8182,7.31053,3,2020,Sheriff of Nottingham: 2nd Edition,60,60,298638,1/2/2024,details
3773,6184,4,1454,2.6348,6.90666,1,2015,XenoShyft: Onslaught,60,30,159109,1/2/2024,details
1395,5309,4,1552,2.05,7.56594,1,2021,Railroad Ink Challenge: Shining Yellow Edition,30,15,306882,1/2/2024,details
3856,4379,6,1595,1.9684,6.77547,3,1994,I'm the Boss!,60,60,115,1/2/2024,details
1347,4551,4,1593,2,7.55358,2,2020,Century: Golem Edition – An Endless World,45,30,312318,1/2/2024,details
1581,3394,4,1638,2.7755,7.60285,1,2018,GKR: Heavy Hitters,120,60,187700,1/2/2024,details
2260,4239,10,1654,2.2985,7.03178,1,2020,Troyes Dice,30,20,284584,1/2/2024,details
1054,3171,3,1724,3.3782,7.90714,2,2010,Normandy '44,420,420,38718,1/2/2024,details
1425,4258,5,1787,2.0882,7.37692,1,2022,Mists over Carcassonne,35,35,358124,1/2/2024,details
1194,2425,5,1730,2.2581,7.77577,1,2023,World Wonders,70,50,365258,1/2/2024,details
1188,4091,6,1807,2.3243,7.82931,1,2023,Marvel Zombies: A Zombicide Game,60,60,351817,1/2/2024,details
7823,11815,6,1946,1.1135,6.4507,2,2014,Age of War,30,15,155695,1/2/2024,details
1301,2352,3,1984,3.7621,7.45226,2,2003,Europe Engulfed: WWII European Theatre Block Game,720,720,6205,1/2/2024,details
1148,2173,4,2002,2.1613,7.50629,1,2014,Ascension: Realms Unraveled,30,30,157026,1/2/2024,details
2318,1938,4,2028,1.9402,6.78366,2,2008,The Hanging Gardens,45,45,34707,1/2/2024,details
751,3137,4,1919,3.9889,8.20152,1,2023,Scholars of the South Tigris,90,60,367041,1/2/2024,details
3618,3863,6,2063,1.7849,6.57692,3,1993,Lifeboats,90,90,249,1/2/2024,details
806,2791,2,2083,3.6786,8.01112,2,2003,Ardennes '44: The Battle of the Bulge,360,360,7858,1/2/2024,details
1020,1593,18,2100,1.3095,7.4694,4,2008,Time's Up! Deluxe,60,60,37141,1/2/2024,details
1612,2467,4,2138,2.3488,6.97439,2,2017,Valletta,80,40,218920,1/2/2024,details
1046,1433,5,2140,2.8519,7.39856,3,2009,American Rails,90,90,41749,1/2/2024,details
1064,1723,5,2183,3.7374,7.3809,2,2010,Florenza,120,90,81640,1/2/2024,details
1001,2761,4,2189,3.08,7.72041,1,2019,Pathfinder Adventure Card Game: Core Set,90,90,271060,1/2/2024,details
885,1751,4,2123,3.9468,7.73134,1,2023,Evacuation,150,60,382843,1/2/2024,details
1207,1620,5,2208,3,7.20206,3,2016,Dynasties: Heirate & Herrsche,90,60,191972,1/2/2024,details
1190,1770,4,2220,2.0118,7.28286,2,2007,Wings of War: Deluxe Set,45,45,31552,1/2/2024,details
664,1929,8,2217,2.5556,8.29131,2,2019,Gaslands: Refuelled,90,45,274428,1/2/2024,details
2200,5500,2,2235,1.5143,6.73715,2,2019,Kingdomino Duel,20,20,281960,1/2/2024,details
597,2043,2,2244,4.2473,8.55129,1,2015,Enemy Action: Ardennes,900,60,68820,1/2/2024,details
1450,4191,10,2282,1.0741,7.01045,2,2018,Don't Get Got!,1440,30,262547,1/2/2024,details
